date,type,event,category,subcategory,customer,quantity,unit_rate,amount,status,source
2025-07-14,overhead,,Stripe,payment-processing-fee,,1,13.94,13.94,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-07-23,overhead,,Stripe,payment-processing-fee,,1,40.67,40.67,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-07-30,overhead,,Stripe,payment-processing-fee,,1,19.56,19.56,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-08-26,overhead,,Stripe,payment-processing-fee,,1,3.61,3.61,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-08-27,overhead,,Stripe,payment-processing-fee,,1,53.68,53.68,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 2 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-09-12,overhead,,Stripe,payment-processing-fee,,1,9.61,9.61,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 2 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-09-22,overhead,,Stripe,payment-processing-fee,,1,3.19,3.19,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-09-25,overhead,,Stripe,payment-processing-fee,,1,2.37,2.37,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-10-02,overhead,,Stripe,payment-processing-fee,,1,3.49,3.49,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
2025-10-10,overhead,,Stripe,payment-processing-fee,,1,3.61,3.61,ACTUAL,reference/stripe-balance-history-2025-07-07-to-2026-07-03.csv; true sum of 1 underlying charge fee(s) for this payout (H-062) -- supersedes the 3.9%+$0.30 back-solved-per-day estimate this row previously carried
